== Descriptive & Statistical Analysis: Race_Categories × CareerStage_NRMNCC_4 on Freq_Ment2_Hours_Clean ==

Observed Counts:
CareerStage_NRMNCC_4  1.0   4.0  6.0  7.0  8.0
Race_Categories                               
Asian                  63   416  118    4   21
Black                  68   333   57    2   47
Hispanic               62   465   49    0   42
OTHER                  21   152   23    0    8
White                 185  1004  141    6   43

Expected Counts:
CareerStage_NRMNCC_4         1.0         4.0         6.0       7.0        8.0
Race_Categories                                                              
Asian                  74.527928  442.684685   72.473273  2.241441  30.072673
Black                  60.748649  360.837838   59.073874  1.827027  24.512613
Hispanic               74.048649  439.837838   72.007207  2.227027  29.879279
OTHER                  24.443243  145.189189   23.769369  0.735135   9.863063
White                 165.231532  981.450450  160.676276  4.969369  66.672372

Chi-Square Test:
Chi2: 93.5626, df: 16, p-value: 0.0000
Significant: Yes

=== Descriptive Stats for Outcome (Freq_Ment2_Hours_Clean) ===
Race_Categories  CareerStage_NRMNCC_4  count      mean       std  min   max
          Asian                   1.0     63 15.769841 30.451419 1.00 160.0
          Asian                   4.0    416 13.920673 16.453248 1.00 160.0
          Asian                   6.0    118  8.720339 10.418496 1.00 100.0
          Asian                   7.0      4  8.750000  2.500000 5.00  10.0
          Asian                   8.0     21 13.047619 10.062188 2.00  40.0
          Black                   1.0     68 10.367647 11.391152 1.00  50.0
          Black                   4.0    333 12.137387 19.561883 0.25 200.0
          Black                   6.0     57  5.377193  4.476407 0.50  20.0
          Black                   7.0      2  5.000000  1.414214 4.00   6.0
          Black                   8.0     47 12.553191 13.144363 1.00  52.0
       Hispanic                   1.0     62 15.241935 20.770159 1.00 125.0
       Hispanic                   4.0    465 13.827957 15.800394 0.50 160.0
       Hispanic                   6.0     49  6.785714  5.074446 0.50  20.0
       Hispanic                   8.0     42 12.642857 14.987509 1.00  90.0
          OTHER                   1.0     21 23.238095 22.823025 1.00  93.0
          OTHER                   4.0    152 15.171053 15.036722 1.00 150.0
          OTHER                   6.0     23 19.304348 36.614000 1.00 180.0
          OTHER                   8.0      8 11.375000  5.208167 3.00  16.0
          White                   1.0    185 19.343243 33.742991 1.00 400.0
          White                   4.0   1004 13.947709 12.758767 1.00 210.0
          White                   6.0    141  8.914894 15.858071 1.00 180.0
          White                   7.0      6 17.333333 13.366625 2.00  40.0
          White                   8.0     43 12.767442  8.032189 1.00  40.0
