== 3-Way Descriptive Analysis: Gender_Category × ParentGuardianEducation × CareerStage_NRMNCC_4 on Freq_Ment2_Hours_Clean ==

Gender_Category  ParentGuardianEducation  CareerStage_NRMNCC_4  count      mean       std   min   max
         Female                      1.0                   1.0    152 17.611842 37.838634  1.00 400.0
         Female                      1.0                   4.0    855 13.273977 15.664698  0.25 210.0
         Female                      1.0                   6.0    296  9.006757 16.395895  0.50 180.0
         Female                      1.0                   7.0      4 13.000000  6.218253  6.00  20.0
         Female                      1.0                   8.0     85 12.717647 10.044676  1.00  52.0
         Female                      2.0                   1.0    104 12.812500 17.226530  1.00 120.0
         Female                      2.0                   4.0    762 12.547244  9.721097  1.00  72.0
         Female                      2.0                   6.0     15  8.133333  5.139020  2.00  20.0
         Female                      2.0                   7.0      2 10.000000  0.000000 10.00  10.0
         Female                      2.0                   8.0     32 12.593750 15.870157  1.00  90.0
   Gender_Other                      1.0                   1.0      1 30.000000       NaN 30.00  30.0
   Gender_Other                      1.0                   4.0     21  9.476190  9.190316  1.00  40.0
   Gender_Other                      1.0                   6.0      7  6.428571  5.940178  2.00  15.0
   Gender_Other                      1.0                   8.0      1  6.000000       NaN  6.00   6.0
   Gender_Other                      2.0                   4.0     15 11.666667  6.019809  1.00  20.0
   Gender_Other                      2.0                   6.0      1 10.000000       NaN 10.00  10.0
           Male                      1.0                   1.0     79 18.917722 21.861368  1.00 100.0
           Male                      1.0                   4.0    374 13.264706 10.879648  1.00 100.0
           Male                      1.0                   6.0     21  8.047619  5.210338  1.00  16.0
           Male                      1.0                   7.0      4 17.000000 17.165858  2.00  40.0
           Male                      1.0                   8.0     31 14.129032 12.555854  1.00  52.0
           Male                      2.0                   1.0     59 18.372881 22.641051  1.00 125.0
           Male                      2.0                   4.0    212 13.174528 14.986256  0.50 160.0
           Male                      2.0                   6.0     13  8.000000  5.147815  3.00  20.0
           Male                      2.0                   7.0      2  4.500000  0.707107  4.00   5.0
           Male                      2.0                   8.0     12  8.916667  8.564815  2.00  30.0
