== 3-Way Descriptive Analysis: Race_Categories × Gender_Category × CareerStage_NRMNCC_4 on Freq_Ment2_Hours_Clean ==

Race_Categories Gender_Category  CareerStage_NRMNCC_4  count      mean       std   min   max
          Asian          Female                   1.0     39 16.910256 35.091960  1.00 160.0
          Asian          Female                   4.0    277 14.083032 16.495398  1.00 150.0
          Asian          Female                   6.0    110  8.754545 10.688403  1.00 100.0
          Asian          Female                   7.0      3 10.000000  0.000000 10.00  10.0
          Asian          Female                   8.0     12 12.833333  9.311121  2.00  32.0
          Asian    Gender_Other                   4.0      6 12.833333  6.013873  5.00  20.0
          Asian    Gender_Other                   6.0      3  9.000000  6.557439  2.00  15.0
          Asian            Male                   1.0     24 13.916667 21.431218  2.00 100.0
          Asian            Male                   4.0    132 13.712121 16.789005  1.00 160.0
          Asian            Male                   6.0      2 13.000000  4.242641 10.00  16.0
          Asian            Male                   7.0      1  5.000000       NaN  5.00   5.0
          Asian            Male                   8.0      9 13.333333 11.565034  2.00  40.0
          Black          Female                   1.0     50  8.620000  9.905451  1.00  50.0
          Black          Female                   4.0    235 10.924468 16.257506  0.25 150.0
          Black          Female                   6.0     39  4.628205  4.132219  0.50  20.0
          Black          Female                   7.0      1  6.000000       NaN  6.00   6.0
          Black          Female                   8.0     37 12.945946 12.705961  2.00  52.0
          Black    Gender_Other                   4.0      5  9.800000  7.981228  1.00  20.0
          Black            Male                   1.0     18 15.222222 13.951831  1.00  40.0
          Black            Male                   4.0     75 16.046667 27.092705  0.50 200.0
          Black            Male                   6.0     18  7.000000  4.874906  1.00  15.0
          Black            Male                   7.0      1  4.000000       NaN  4.00   4.0
          Black            Male                   8.0     10 11.100000 15.307587  1.00  52.0
       Hispanic          Female                   1.0     41 12.097561 11.266776  1.00  40.0
       Hispanic          Female                   4.0    352 13.538352 14.486975  1.00 150.0
       Hispanic          Female                   6.0     33  6.196970  4.889305  0.50  20.0
       Hispanic          Female                   8.0     29 13.034483 16.532398  1.00  90.0
       Hispanic    Gender_Other                   4.0      7  6.428571  5.318432  1.00  15.0
       Hispanic    Gender_Other                   8.0      1  6.000000       NaN  6.00   6.0
       Hispanic            Male                   1.0     21 21.380952 31.655136  1.00 125.0
       Hispanic            Male                   4.0    106 15.278302 19.848963  0.50 160.0
       Hispanic            Male                   6.0     16  8.000000  5.391351  2.00  20.0
       Hispanic            Male                   8.0     12 12.250000 11.701787  3.00  40.0
          OTHER          Female                   1.0      8 12.875000 10.204166  1.00  30.0
          OTHER          Female                   4.0     95 15.610526 17.150954  1.00 150.0
          OTHER          Female                   6.0     21 20.333333 38.178965  1.00 180.0
          OTHER          Female                   8.0      7 11.142857  5.580579  3.00  16.0
          OTHER    Gender_Other                   4.0      3 12.333333  6.806859  7.00  20.0
          OTHER    Gender_Other                   6.0      1 15.000000       NaN 15.00  15.0
          OTHER            Male                   1.0     12 28.750000 27.276780  1.00  93.0
          OTHER            Male                   4.0     53 14.547170 11.037638  1.00  40.0
          OTHER            Male                   6.0      1  2.000000       NaN  2.00   2.0
          OTHER            Male                   8.0      1 13.000000       NaN 13.00  13.0
          White          Female                   1.0    119 19.831933 39.720916  1.00 400.0
          White          Female                   4.0    737 13.905699 12.738470  1.00 210.0
          White          Female                   6.0    133  9.135338 16.294999  1.00 180.0
          White          Female                   7.0      2 18.000000  2.828427 16.00  20.0
          White          Female                   8.0     32 12.343750  7.298296  1.00  32.0
          White    Gender_Other                   1.0      1 30.000000       NaN 30.00  30.0
          White    Gender_Other                   4.0     16 10.562500  9.784128  1.00  40.0
          White    Gender_Other                   6.0      4  3.250000  1.258306  2.00   5.0
          White            Male                   1.0     63 18.674603 19.173057  1.00 100.0
          White            Male                   4.0    250 14.264000 13.012594  1.00 120.0
          White            Male                   6.0      3  8.000000  0.000000  8.00   8.0
          White            Male                   7.0      4 17.000000 17.165858  2.00  40.0
          White            Male                   8.0     11 14.000000 10.178409  5.00  40.0
