== 3-Way Descriptive Analysis: Race_Categories × ParentGuardianEducation × CareerStage_NRMNCC_4 on Freq_Ment2_Hours_Clean ==

Race_Categories  ParentGuardianEducation  CareerStage_NRMNCC_4  count      mean       std   min   max
          Asian                      1.0                   1.0     42 17.761905 34.264260  1.00 160.0
          Asian                      1.0                   4.0    245 12.763265 13.559866  1.00 150.0
          Asian                      1.0                   6.0    105  8.723810 10.885325  1.00 100.0
          Asian                      1.0                   7.0      1 10.000000       NaN 10.00  10.0
          Asian                      1.0                   8.0     14 14.071429 10.549986  2.00  40.0
          Asian                      2.0                   1.0     21 11.785714 21.043153  2.00 100.0
          Asian                      2.0                   4.0    146 12.869863 15.157683  1.00 160.0
          Asian                      2.0                   6.0      8  8.125000  2.416461  4.00  10.0
          Asian                      2.0                   7.0      3  8.333333  2.886751  5.00  10.0
          Asian                      2.0                   8.0      7 11.000000  9.433981  2.00  30.0
          Black                      1.0                   1.0     41  9.609756 10.249093  1.00  50.0
          Black                      1.0                   4.0    174 11.354885 17.931130  0.25 150.0
          Black                      1.0                   6.0     43  5.174419  4.410328  0.50  20.0
          Black                      1.0                   7.0      1  6.000000       NaN  6.00   6.0
          Black                      1.0                   8.0     34 13.617647 14.549841  1.00  52.0
          Black                      2.0                   1.0     27 11.518519 13.057183  1.00  40.0
          Black                      2.0                   4.0    142 11.091549 15.154830  0.50 100.0
          Black                      2.0                   6.0      7  8.428571  5.191568  2.00  15.0
          Black                      2.0                   7.0      1  4.000000       NaN  4.00   4.0
          Black                      2.0                   8.0     13  9.769231  8.278022  2.00  30.0
       Hispanic                      1.0                   1.0     24 14.250000 20.257580  1.00 100.0
       Hispanic                      1.0                   4.0    110 13.031818 15.741355  1.00 150.0
       Hispanic                      1.0                   6.0     28  6.482143  5.028589  0.50  20.0
       Hispanic                      1.0                   8.0     25 11.760000  9.220810  1.00  40.0
       Hispanic                      2.0                   1.0     37 15.216216 21.239553  1.00 125.0
       Hispanic                      2.0                   4.0    335 12.517910  9.511322  0.50  40.0
       Hispanic                      2.0                   6.0     11  7.727273  6.649675  2.00  20.0
       Hispanic                      2.0                   8.0     17 13.941176 21.096417  1.00  90.0
          OTHER                      1.0                   1.0     10 32.700000 28.099229  1.00  93.0
          OTHER                      1.0                   4.0     73 14.808219 18.693922  1.00 150.0
          OTHER                      1.0                   6.0     19 19.842105 39.610974  1.00 180.0
          OTHER                      1.0                   8.0      6 11.000000  5.899152  3.00  16.0
          OTHER                      2.0                   1.0     11 14.636364 12.659168  1.00  40.0
          OTHER                      2.0                   4.0     70 14.700000 10.665331  1.00  40.0
          OTHER                      2.0                   6.0      1 14.000000       NaN 14.00  14.0
          OTHER                      2.0                   8.0      2 12.500000  3.535534 10.00  15.0
          White                      1.0                   1.0    118 20.716102 39.152097  1.00 400.0
          White                      1.0                   4.0    660 13.624242 12.512744  1.00 210.0
          White                      1.0                   6.0    133  9.030075 16.315980  1.00 180.0
          White                      1.0                   7.0      6 17.333333 13.366625  2.00  40.0
          White                      1.0                   8.0     38 13.289474  8.314455  1.00  40.0
          White                      2.0                   1.0     67 16.925373 21.155495  1.00 120.0
          White                      2.0                   4.0    304 13.133224  8.821638  1.00  40.0
          White                      2.0                   6.0      2  6.500000  2.121320  5.00   8.0
          White                      2.0                   8.0      5  8.800000  3.962323  5.00  15.0
