== 3-Way Descriptive Analysis: Race_Categories × ParentGuardianEducation × CareerStage_NRMNCC_4 on Freq_Ment2_Hours_Clean ==

Race_Categories  ParentGuardianEducation  CareerStage_NRMNCC_4  count      mean       std  min   max
          Asian                      1.0                   1.0     71 31.464789 33.185552  2.0 140.0
          Asian                      2.0                   1.0     26 27.384615 24.717730  2.0 100.0
          Black                      1.0                   1.0     12 17.500000 14.087390  5.0  40.0
          Black                      2.0                   1.0      7 13.857143 16.506853  2.0  50.0
       Hispanic                      1.0                   1.0     21 24.880952 18.832090  4.0  80.0
       Hispanic                      2.0                   1.0     10 26.400000 22.741054  4.0  80.0
       Hispanic                      2.0                   7.0      1 20.000000       NaN 20.0  20.0
          OTHER                      1.0                   1.0     35 30.442857 25.974753  1.0 100.0
          OTHER                      2.0                   1.0     12 26.416667 27.792930  4.0 100.0
          White                      1.0                   1.0    323 28.760062 25.470459  1.0 200.0
          White                      1.0                   7.0      1 10.000000       NaN 10.0  10.0
          White                      2.0                   1.0    108 28.398148 37.254853  1.0 350.0
          White                      2.0                   7.0      1 20.000000       NaN 20.0  20.0
